Model,Provider,Intelligence,Latency,TPS
deepseek-ai/deepseek-v4-flash,nvidia,41,5,59
google/gemma-4-31b-it,nvidia,30,0,22
meta/llama-3.1-8b-instruct,nvidia,8,0,140
mistralai/mistral-nemotron,nvidia,13,-,-
nvidia/llama-3.1-nemotron-nano-vl-8b-v1,nvidia,9,4,45
nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,9,-,-
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,nvidia,15,-,-
nvidia/nemotron-3-super-120b-a12b,nvidia,26,1,211
nvidia/nemotron-3-ultra-550b-a55b,nvidia,38,1,215
openai/gpt-oss-120b,nvidia,24,-,-
openai/gpt-oss-20b,nvidia,15,4,92
poolside/laguna-xs-2.1,nvidia,15,0,196
stepfun-ai/step-3.7-flash,nvidia,31,6,75
thinkingmachines/inkling,nvidia,41,1,364
z-ai/glm-5.2,nvidia,52,0,37
cohere/north-mini-code:free,openrouter,20,-,-
google/gemma-4-26b-a4b-it:free,openrouter,26,0,36
google/gemma-4-31b-it:free,openrouter,30,-,-
inclusionai/ling-3.0-flash:free,openrouter,26,3,374
nvidia/nemotron-3-nano-30b-a3b:free,openrouter,8,7,133
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,openrouter,15,-,-
nvidia/nemotron-3-super-120b-a12b:free,openrouter,26,5,217
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,38,1,168
nvidia/nemotron-nano-12b-v2-vl:free,openrouter,9,-,-
nvidia/nemotron-nano-9b-v2:free,openrouter,9,4,60
openai/gpt-oss-20b:free,openrouter,15,2,31
poolside/laguna-m.1:free,openrouter,22,-,-
poolside/laguna-s-2.1:free,openrouter,33,-,-
poolside/laguna-xs-2.1:free,openrouter,15,-,-
gemini-3.1-flash-lite,google,25,0,511
gemini-3.5-flash-lite,google,37,0,543
gemma-4-26b-a4b-it,google,26,0,46
gemma-4-31b-it,google,30,0,36
codestral-2508,mistral,11,0,179
codestral-latest,mistral,11,0,179
devstral-2512,mistral,20,0,470
devstral-latest,mistral,20,0,473
devstral-medium-latest,mistral,13,0,476
labs-leanstral-1-5,mistral,13,-,-
labs-leanstral-1-5-1,mistral,13,-,-
magistral-medium-2509,mistral,18,0,44
magistral-medium-latest,mistral,13,0,50
magistral-small-2509,mistral,12,0,41
magistral-small-latest,mistral,11,0,291
ministral-14b-2512,mistral,12,0,86
ministral-14b-latest,mistral,12,0,86
ministral-3b-2512,mistral,7,0,422
ministral-3b-latest,mistral,7,0,388
ministral-8b-2512,mistral,9,0,175
ministral-8b-latest,mistral,9,0,204
mistral-code-agent-latest,mistral,19,0,474
mistral-code-latest,mistral,15,0,193
mistral-large-2512,mistral,16,0,126
mistral-large-latest,mistral,16,0,124
mistral-medium,mistral,4,0,283
mistral-medium-2505,mistral,4,0,57
mistral-medium-2508,mistral,4,0,198
mistral-medium-2604,mistral,4,0,223
mistral-medium-3,mistral,13,0,263
mistral-medium-3-5,mistral,30,0,58
mistral-medium-3.5,mistral,30,0,222
mistral-medium-latest,mistral,4,0,69
mistral-small-2506,mistral,5,0,101
mistral-small-2603,mistral,20,0,300
mistral-small-latest,mistral,20,0,296
mistral-tiny-2407,mistral,4,0,47
mistral-tiny-latest,mistral,6,0,50
mistral-vibe-cli-fast,mistral,13,0,294
mistral-vibe-cli-latest,mistral,21,0,248
mistral-vibe-cli-with-tools,mistral,19,0,55
big-pickle,opencode,34,4,100
deepseek-v4-flash-free,opencode,41,4,239
ling-3.0-flash-free,opencode,26,3,591
mimo-v2.5-free,opencode,43,-,-
nemotron-3-ultra-free,opencode,38,8,239
north-mini-code-free,opencode,20,-,-
inclusionai/ling-3.0-flash:free,nous,26,0,617
poolside/laguna-s-2.1:free,nous,33,0,602
poolside/laguna-xs-2.1:free,nous,15,-,-
stepfun/step-3.7-flash:free,nous,31,1,335
tencent/hy3:free,nous,42,5,69
