Model,Provider,Intelligence,Latency,TPS
codestral-2508,mistral,11,0,152
codestral-latest,mistral,11,0,147
devstral-2512,mistral,20,0,221
devstral-latest,mistral,20,0,454
devstral-medium-latest,mistral,13,0,460
magistral-small-latest,mistral,11,0,253
ministral-14b-2512,mistral,12,0,137
ministral-14b-latest,mistral,12,0,104
ministral-3b-2512,mistral,7,0,365
ministral-3b-latest,mistral,7,0,386
ministral-8b-2512,mistral,9,0,164
ministral-8b-latest,mistral,9,0,161
mistral-code-agent-latest,mistral,19,0,416
mistral-code-latest,mistral,15,0,148
mistral-large-2512,mistral,16,0,126
mistral-large-latest,mistral,16,0,127
mistral-medium,mistral,4,0,61
mistral-medium-2505,mistral,4,0,56
mistral-medium-2508,mistral,4,0,184
mistral-medium-2604,mistral,4,0,272
mistral-medium-3,mistral,13,0,55
mistral-medium-3-5,mistral,30,0,273
mistral-medium-3.5,mistral,30,0,70
mistral-medium-latest,mistral,4,0,68
mistral-small-2603,mistral,20,0,261
mistral-small-latest,mistral,20,0,261
mistral-vibe-cli-fast,mistral,13,0,161
mistral-vibe-cli-latest,mistral,21,0,68
mistral-vibe-cli-with-tools,mistral,19,0,295
