Model,Provider,Intelligence,Latency,TPS
cohere/north-mini-code:free,openrouter,21,5,443
google/gemma-4-26b-a4b-it:free,openrouter,26,0,31
google/gemma-4-31b-it:free,openrouter,30,-,-
nvidia/nemotron-3-nano-30b-a3b:free,openrouter,8,4,160
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,openrouter,15,-,-
nvidia/nemotron-3-super-120b-a12b:free,openrouter,26,1,97
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,38,4,90
nvidia/nemotron-nano-12b-v2-vl:free,openrouter,9,-,-
nvidia/nemotron-nano-9b-v2:free,openrouter,9,-,-
openai/gpt-oss-20b:free,openrouter,15,-,-
poolside/laguna-m.1:free,openrouter,22,-,-
poolside/laguna-xs-2.1:free,openrouter,15,-,-
tencent/hy3:free,openrouter,34,0,89
